日期,觀測休止時間(UTC),全球觀測(F.D.),區域觀測(Reg),項目,備註
5月22日,20:50 UTC(P125),X,O,放射計太陽校正,
5月22日,00:40 UTC(P004),X,O,東西軌道控制,
5月21日,12:40 UTC(P076),X,O,東西軌道控制,
5月18日,16:40 UTC(P100),X,O,南北軌道控制,
5月8日,07:50 UTC(P047),X,O,東西軌道控制,
5月7日,20:50 UTC(P125),X,O,放射計太陽校正,
5月7日,19:50 UTC(P119),X,O,東西軌道控制,
5月4日,17:40 UTC(P106),X,O,南北軌道控制,
5月1日～31日,02:50 UTC(P017),X,O,衛星例行維護,
5月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
4月23日,18:20 UTC(P110),X,O,東西軌道控制,
4月23日,06:20 UTC(P038),X,O,東西軌道控制,
4月22日,20:30 UTC(P123) 20:50 UTC(P125),X,O,放射計太陽校正,4/16訂正
4月20日,18:20 UTC(P110),X,O,南北軌道控制,
4月10日,06:50 UTC(P041),X,O,東西軌道控制,
4月9日,18:50 UTC(P113),X,O,東西軌道控制,
4月7日,20:50 UTC(P125),X,O,放射計太陽校正,
4月6日,19:20 UTC(P116),X,O,南北軌道控制,
4月1日～30日,02:50 UTC(P017),X,O,衛星例行維護,
4月1日～30日,14:50 UTC(P089),X,O,衛星例行維護,
3月27日,09:10 UTC(P055),X,O,東西軌道控制,
3月26日,21:10 UTC(P127),X,O,東西軌道控制,
3月23日,20:10 UTC(P121),X,O,南北軌道控制,
3月22日,20:50 UTC(P125),X,O,放射計太陽校正,
3月13日,07:40 UTC(P046),X,O,東西軌道控制,
3月12日,19:40 UTC(P118),X,O,東西軌道控制,
3月9日,21:10 UTC(P127),X,O,南北軌道控制,
3月7日,21:10 UTC(P127),X,O,放射計太陽校正,
3月1日～31日,02:50 UTC(P017),X,O,衛星例行維護,
3月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
2月26日,19:50 UTC(P119),X,O,東西軌道控制,
2月26日,07:50 UTC(P047),X,O,東西軌道控制,
2月23日,22:10 UTC(P133),X,O,南北軌道控制,
2月22日,21:10 UTC(P127),X,O,放射計太陽校正,
2月12日,22:10 UTC(P133),X,O,東西軌道控制,
2月12日,10:10 UTC(P061),X,O,東西軌道控制,
2月9日,23:10 UTC(P139),X,O,南北軌道控制,
2月7日,21:10 UTC(P127),X,O,放射計太陽校正,
2月1日～28日,02:50 UTC(P017),X,O,衛星例行維護,
2月1日～28日,14:50 UTC(P089),X,O,衛星例行維護,
1月30日,10:50 UTC(P065),X,O,東西軌道控制,
1月29日,22:50 UTC(P137),X,O,東西軌道控制,
1月26日,00:10 UTC(P001),X,O,南北軌道控制,
1月22日,21:10 UTC(P127),X,O,放射計太陽校正,
1月16日,00:50 UTC(P005),X,O,東西軌道控制,
1月15日,12:50 UTC(P077),X,O,東西軌道控制,
1月12日,01:10 UTC(P007),X,O,南北軌道控制,
1月7日,20:50 UTC(P125),X,O,放射計太陽校正,
1月2日,08:10 UTC(P049),X,O,東西軌道控制,
1月1日,20:10 UTC(P121),X,O,東西軌道控制,
1月1日～31日,02:50 UTC(P017),X,O,衛星例行維護,
1月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
12月29日,01:50 UTC(P011),X,O,南北軌道控制,
12月22日,20:50 UTC(P125),X,O,放射計太陽校正,
12月19日,08:10 UTC(P049),X,O,東西軌道控制,
12月18日,20:10 UTC(P121),X,O,東西軌道控制,
12月15日,02:50 UTC(P017),X,O,南北軌道控制,
12月7日,20:40 UTC(P124),X,O,放射計太陽校正,
12月5日,08:40 UTC(P052),X,O,東西軌道控制,
12月4日,20:40 UTC(P124),X,O,東西軌道控制,
12月1日,03:50 UTC(P023),X,O,南北軌道控制,
12月1日～31日 1、15、29日を除く,02:50 UTC(P017),X,O,衛星例行維護,
12月1日～31日,14:50 UTC(P089),X,O,衛星例行維護,
11月27日～30日,02:50 UTC(P017),X,O,衛星例行維護,
11月26日～30日,14:50 UTC(P089),X,O,衛星例行維護,
10月10日,08:50 UTC(P053),X,O,東西軌道控制,
10月9日,20:50 UTC(P125),X,O,東西軌道控制,
10月7日,20:40 UTC(P124),X,O,放射計太陽校正,
10月6日,07:40 UTC(P046),X,O,南北軌道控制,
10月1日～19日,02:50 UTC(P017),X,O,衛星例行維護,
10月1日～19日,14:50 UTC(P089),X,O,衛星例行維護,
9月26日,08:50 UTC(P053),X,O,東西軌道控制,
9月25日,20:50 UTC(P125),X,O,東西軌道控制,
9月22日,20:40 UTC(P124),X,O,放射計太陽校正,
9月22日,08:40 UTC(P052),X,O,南北軌道控制,
9月12日,10:10 UTC(P061),X,O,東西軌道控制,
9月11日,22:10 UTC(P133),X,O,東西軌道控制,
9月8日,09:40 UTC(P058),X,O,南北軌道控制,
9月7日,20:50 UTC(P125),X,O,放射計太陽校正,
9月1日～30日,02:50 UTC(P017),X,O,衛星例行維護,
9月1日～30日,14:50 UTC(P089),X,O,衛星例行維護,
8月28日,19:10 UTC(P115),X,O,東西軌道控制,
8月28日,07:10 UTC(P043),X,O,東西軌道控制,
8月25日,10:40 UTC(P064),X,O,南北軌道控制,
8月22日,20:50 UTC(P125),X,O,放射計太陽校正,
